p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.465255103367852e-19,0.3620595401088217,0.766,0.689,3.1976262120796635e-15,skeletal,LOC586345
2.4877182757995627e-19,0.3318268670164849,0.806,0.755,5.428947593277385e-15,skeletal,LOC577697
2.8360207596605425e-19,0.29066421050338276,0.361,0.154,6.1890481038072015e-15,skeletal,LOC584138
5.60762830421366e-19,0.3330674480167013,0.738,0.613,1.2237527248285471e-14,skeletal,LOC576611
6.8077157164534015e-19,0.3761489521655418,0.639,0.525,1.485647800801626e-14,skeletal,LOC592626
8.191279782189068e-19,0.34204682174887013,0.44,0.252,1.7875829868671202e-14,skeletal,LOC100893407
1.0462729205786549e-18,0.36854915573412445,0.452,0.269,2.2832813945787986e-14,skeletal,Nfe2
1.1344087092089855e-18,0.3937696424667327,0.464,0.288,2.475620126106769e-14,skeletal,LOC591980
2.0262579705787352e-18,0.2873103858586139,0.353,0.165,4.4219027691939736e-14,skeletal,LOC592098
4.135131037598913e-18,0.3132825127795684,0.917,0.904,9.024096463352108e-14,skeletal,LOC753380
1.0569662095578481e-17,0.3938021219546185,0.619,0.502,2.306617359118092e-13,skeletal,LOC574970
1.0575640391454237e-17,0.4457468699213424,0.746,0.686,2.307922002627058e-13,skeletal,LOC752471
4.8958067323841685e-17,0.3135989255845141,0.766,0.716,1.0684119032081972e-12,skeletal,LOC100890540
7.194353958404858e-17,0.3115337743794748,0.964,0.957,1.570023864342692e-12,skeletal,LOC575018
2.355149454640157e-16,0.30625632057359053,0.829,0.786,5.1396426548612145e-12,skeletal,LOC105445164
3.1277971248219475e-16,0.34856082578098047,0.587,0.45,6.825791665498936e-12,skeletal,LOC578034
4.0662750416289277e-16,0.3547868584979119,0.623,0.493,8.873832023346809e-12,skeletal,LOC578276
4.2693998804350356e-16,0.32984303023819606,0.944,0.948,9.317111359073378e-12,skeletal,LOC588294
8.45188056068112e-16,0.358308809868253,0.742,0.653,1.844453894757441e-11,skeletal,LOC577815
1.3817186565487857e-15,0.2794663731677969,0.925,0.889,3.0153246241864154e-11,skeletal,LOC589555
1.7786745060790684e-15,0.303794409355444,0.845,0.809,3.8816013746163506e-11,skeletal,LOC588193
3.450107436343186e-15,0.3704409296154172,0.833,0.774,7.529169458331735e-11,skeletal,LOC574665
4.885795290981232e-15,0.2504883431500404,0.976,0.987,1.0662271063508341e-10,skeletal,LOC590067
6.688662511725093e-15,0.27241017669397427,0.345,0.183,1.459666819933767e-10,skeletal,LOC574833
7.30744066887792e-15,0.33671634371693226,0.405,0.244,1.5947027771692286e-10,skeletal,LOC582611
7.776572094151693e-15,0.33190879692195696,0.575,0.426,1.697081328106724e-10,skeletal,LOC577398
1.0265215202774457e-14,0.34985478427213657,0.726,0.685,2.2401779137014698e-10,skeletal,LOC581850
1.296119503831246e-14,0.2978886568216735,0.476,0.317,2.828521593210928e-10,skeletal,LOC586110
2.1180691436838318e-14,0.2902767325247344,0.905,0.852,4.622262292261226e-10,skeletal,LOC580437
2.4734521477410516e-14,0.39117784216146434,0.599,0.47,5.397814622015297e-10,skeletal,LOC578637
2.8301776224693923e-14,0.32314221144258953,0.556,0.418,6.176296625514955e-10,skeletal,LOC582130
2.9008423524810613e-14,0.31639660479050496,0.556,0.42,6.33050826581942e-10,skeletal,LOC591328
3.630848254614571e-14,0.41209791967257925,0.492,0.349,7.923600146045378e-10,skeletal,LOC586768
4.488106052004749e-14,0.2983886532798605,0.611,0.491,9.794393837289964e-10,skeletal,LOC584662
7.28864455095257e-14,0.2687342718145149,0.937,0.965,1.5906009003543792e-9,skeletal,LOC582174
7.358267156205971e-14,0.34400498735159896,0.56,0.445,1.6057946414988292e-9,skeletal,LOC589961
8.042692524449933e-14,0.28520132880640964,0.575,0.437,1.7551567896107089e-9,skeletal,LOC577040
9.782330724917921e-14,0.288889226223918,0.877,0.877,2.1347980340988377e-9,skeletal,LOC100888691
9.930789765352754e-14,0.3182462197621848,0.623,0.51,2.1671962504929316e-9,skeletal,LOC589574
1.1276885992711718e-13,0.361591846541927,0.639,0.549,2.460954830189478e-9,skeletal,LOC105441189
1.858189392402914e-13,0.3145204834954771,0.48,0.338,4.05512671104088e-9,skeletal,LOC591874
2.8816655689912696e-13,0.317521291100355,0.317,0.168,6.288658771209648e-9,skeletal,LOC581034
2.96960006665061e-13,0.2640732911829262,0.885,0.893,6.480558225451625e-9,skeletal,LOC591735
3.269506074240031e-13,0.32856039224140865,0.583,0.488,7.135043105814019e-9,skeletal,LOC577393
6.272813151396936e-13,0.2740631909216251,0.873,0.884,1.3689160140293532e-8,skeletal,LOC587526
1.604695226348706e-12,0.2897369726342135,0.476,0.337,3.501926392460781e-8,skeletal,LOC578275
2.487304961792696e-12,0.3174142001143582,0.52,0.405,5.4280456181202006e-8,skeletal,LOC764368
