p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.9442216384318953e-38,0.5377730411946082,0.995,0.923,4.242874881549925e-34,transient,LOC575732
1.9997979498498195e-38,0.5553534065881691,0.997,0.961,4.364159065957261e-34,transient,LOC583082
2.447971596596912e-38,0.4504965287800644,1,0.996,5.342208415253441e-34,transient,LOC576208
6.753677306399633e-38,0.517623895872777,0.974,0.807,1.473854998575592e-33,transient,LOC584816
6.872450412937827e-38,0.5361961666955473,0.995,0.914,1.499774853615422e-33,transient,rab11
7.180928096655715e-38,0.5445595321493713,1,0.996,1.5670939385331766e-33,transient,LOC575225
7.446236987783225e-38,0.5645770296479047,0.959,0.764,1.624992297843933e-33,transient,LOC105444418
7.521239790881954e-38,0.4048876697766559,1,1,1.641360159564169e-33,transient,LOC576779
8.081274213355272e-38,0.5806206133777221,0.979,0.828,1.763576471580521e-33,transient,LOC581143
1.2213273831787967e-37,0.7570726453453611,0.992,0.948,2.665302748311088e-33,transient,isg12
2.837752395890789e-37,0.5356230999771459,0.995,0.91,6.192827053552469e-33,transient,LOC593861
3.964059378603975e-37,0.5684608238994078,1,0.996,8.650766781927454e-33,transient,LOC592907
5.780964382373512e-37,0.4619639967417535,0.997,0.893,1.2615798571653716e-32,transient,LOC373418
6.384111563830302e-37,0.4716438664041629,0.998,0.953,1.393204666574687e-32,transient,LOC584224
7.814877661158432e-37,0.47432719007794377,0.994,0.914,1.7054407519946045e-32,transient,LOC578311
7.946986286155445e-37,0.4522825121085776,1,0.966,1.7342708172277029e-32,transient,LOC586410
1.6190568464953014e-36,0.4437476187511402,1,1,3.5332677561066966e-32,transient,CycA
1.8139727836210357e-36,0.4610778753411031,0.971,0.807,3.9586328056961863e-32,transient,LOC591219
2.1421794892244446e-36,0.46465393182344616,1,1,4.6748782993345053e-32,transient,LOC577596
2.5944266285316134e-36,0.5209373275715516,0.986,0.888,5.66181723144454e-32,transient,LOC764515
3.47706921992024e-36,0.6440858702753451,0.991,0.948,7.58800815863194e-32,transient,LOC579744
5.4831598862254417e-36,0.5701309653627986,0.966,0.742,1.1965899819709781e-31,transient,LOC588788
6.80547411021211e-36,0.4308647270491912,0.994,0.948,1.4851586150715887e-31,transient,LOC579034
7.939916959833622e-36,0.4616285830263347,0.992,0.863,1.7327280781444914e-31,transient,LOC586576
9.035413719827168e-36,0.5296914209085268,0.998,0.957,1.9717983360778828e-31,transient,LOC753187
1.212322709983807e-35,0.4917464249872272,1,1,2.645651849997662e-31,transient,LOC574926
1.4038341251140398e-35,0.6305632839751729,0.945,0.7,3.063587211236369e-31,transient,LOC575048
2.0367590951031795e-35,0.5483505904167106,0.894,0.614,4.444819373243668e-31,transient,LOC591382
2.6852359050733027e-35,0.4921250330745903,0.989,0.901,5.859990315641468e-31,transient,LOC580070
7.467793192459686e-35,0.4955989690111393,0.986,0.794,1.629696508390477e-30,transient,LOC581769
