GeneID,Name
LOC578731,solute carrier family 35 member B1
LOC577809,solute carrier organic anion transporter family member 4A1
LOC576924,solute carrier organic anion transporter family member 4A1
LOC575707,solute carrier family 15 member 4
LOC574979,"solute carrier family 52, riboflavin transporter, member 3"
LOC593900,proton myo-inositol cotransporter
LOC579964,calcium-binding mitochondrial carrier protein Aralar1
LOC575691,mitochondrial glycine transporter B
LOC755212,putative sodium-coupled neutral amino acid transporter 10
LOC587558,proton-coupled amino acid transporter 1
LOC587278,sodium/myo-inositol cotransporter 2
LOC100892257,transmembrane protein 184B
LOC100889790,sodium- and chloride-dependent glycine transporter 1
LOC586297,probable sodium-coupled neutral amino acid transporter 6
LOC584025,sodium- and chloride-dependent glycine transporter 1
LOC577731,sodium- and chloride-dependent glycine transporter 1
LOC576440,natural resistance-associated macrophage protein 2
LOC580286,sodium- and chloride-dependent betaine transporter
LOC590977,sodium-dependent alanine transporter 2
LOC578449,sodium-dependent alanine transporter 3
LOC100893910,amino acid transporter AVT3B
LOC100892108,proton-coupled amino acid transporter 1
LOC100890413,sodium/glucose cotransporter 1
LOC100889772,sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)
LOC592693,sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)
LOC592669,sodium- and chloride-dependent taurine transporter
LOC587709,sodium- and chloride-dependent glycine transporter 1
LOC583473,sodium/glucose cotransporter 4
LOC583386,uncharacterized LOC583386
LOC581524,putative sodium-coupled neutral amino acid transporter 7
LOC580968,sodium- and chloride-dependent glycine transporter 1
LOC578787,sodium-dependent multivitamin transporter
LOC577626,sodium- and chloride-dependent glycine transporter 1
LOC576765,neutral and basic amino acid transport protein rBAT
LOC576529,sodium/myo-inositol cotransporter
LOC574943,sodium-coupled neutral amino acid transporter 9
LOC763356,glucose-6-phosphate exchanger SLC37A2
LOC756989,glucose-6-phosphate exchanger SLC37A2
LOC593873,sialin
LOC590588,high-affinity choline transporter 1
LOC589364,cilia- and flagella-associated protein 91
LOC586832,neutral and basic amino acid transport protein rBAT
LOC584046,sodium-coupled monocarboxylate transporter 1
LOC582008,sodium-dependent multivitamin transporter
LOC581958,sodium- and chloride-dependent GABA transporter 1
LOC576650,proton-associated sugar transporter A
LOC574944,sialin
LOC105440247,uncharacterized LOC105440247
LOC584179,sodium-dependent dopamine transporter
LOC105441203,organic solute transporter subunit alpha-like
LOC581718,solute carrier family 23 member 1
LOC763815,solute carrier family 15 member 4
LOC763517,solute carrier family 43 member 3
LOC580869,solute carrier organic anion transporter family member 4A1
LOC115924706,solute carrier family 15 member 4-like
LOC762446,solute carrier organic anion transporter family member 4A1
LOC754028,solute carrier family 46 member 3
LOC577113,solute carrier organic anion transporter family member 4C1
LOC764889,solute carrier family 15 member 4-like
LOC105442906,uncharacterized LOC105442906
LOC764578,sodium- and chloride-dependent GABA transporter 2
LOC592711,sodium-coupled monocarboxylate transporter 1
LOC580845,sodium-coupled monocarboxylate transporter 1
LOC576134,sodium-coupled monocarboxylate transporter 1
LOC753906,solute carrier organic anion transporter family member 4A1
SLC12A2,"solute carrier family 12 (sodium/potassium/chloride transporters), member 2"
LOC105447089,organic solute transporter subunit alpha-like
LOC100893317,organic solute transporter subunit alpha
LOC115929779,organic solute transporter subunit alpha-like
LOC105445218,organic solute transporter subunit alpha-like
LOC115918949,solute carrier family 35 member F2-like
LOC764872,solute carrier family 35 member F6
